,UF,codMun,AreaPrestacao
0,MG,3100104,Setor 2
1,MG,3100203,Setor 2
2,MG,3100302,Setor 2
3,MG,3100401,Setor 2
4,MG,3100500,Setor 2
5,MG,3100609,Setor 2
6,MG,3100708,Setor 2
7,MG,3100807,Setor 2
8,MG,3100906,Setor 2
9,MG,3101003,Setor 2
10,MG,3101102,Setor 2
11,MG,3101201,Setor 2
12,MG,3101300,Setor 2
13,MG,3101409,Setor 2
14,MG,3101508,Setor 2
15,MG,3101607,Setor 2
16,MG,3101631,Setor 2
17,MG,3101706,Setor 2
18,MG,3101805,Setor 2
19,MG,3101904,Setor 2
20,MG,3102001,Setor 2
21,MG,3102050,Setor 2
22,MG,3102100,Setor 2
23,MG,3102209,Setor 2
24,MG,3102308,Setor 2
25,MG,3102407,Setor 2
26,MG,3102506,Setor 2
27,MG,3102605,Setor 2
28,MG,3102704,Setor 2
29,MG,3102803,Setor 2
30,MG,3102852,Setor 2
31,MG,3102902,Setor 2
32,MG,3103009,Setor 2
33,MG,3103108,Setor 2
34,MG,3103207,Setor 2
35,MG,3103306,Setor 2
36,MG,3103405,Setor 2
37,MG,3103504,Setor 2
38,MG,3103603,Setor 2
39,MG,3103702,Setor 2
40,MG,3103801,Setor 2
41,MG,3104007,Setor 2
42,MG,3104106,Setor 2
43,MG,3104205,Setor 2
44,MG,3104304,Setor 2
45,MG,3104403,Setor 2
46,MG,3104452,Setor 2
47,MG,3104502,Setor 2
48,MG,3104601,Setor 2
49,MG,3104700,Setor 2
50,MG,3104809,Setor 2
51,MG,3104908,Setor 2
52,MG,3105004,Setor 2
53,MG,3105103,Setor 2
54,MG,3105202,Setor 2
55,MG,3105301,Setor 2
56,MG,3105400,Setor 2
57,MG,3105509,Setor 2
58,MG,3105608,Setor 2
59,MG,3105707,Setor 2
60,MG,3105905,Setor 2
61,MG,3106002,Setor 2
62,MG,3106101,Setor 2
63,MG,3106200,Setor 2
64,MG,3106309,Setor 2
65,MG,3106408,Setor 2
66,MG,3106507,Setor 2
67,MG,3106606,Setor 2
68,MG,3106655,Setor 2
69,MG,3106705,Setor 2
70,MG,3106804,Setor 2
71,MG,3106903,Setor 2
72,MG,3107000,Setor 2
73,MG,3107109,Setor 2
74,MG,3107208,Setor 2
75,MG,3107307,Setor 2
76,MG,3107406,Setor 2
77,MG,3107505,Setor 2
78,MG,3107604,Setor 2
79,MG,3107703,Setor 2
80,MG,3107802,Setor 2
81,MG,3107901,Setor 2
82,MG,3108008,Setor 2
83,MG,3108107,Setor 2
84,MG,3108206,Setor 2
85,MG,3108255,Setor 2
86,MG,3108305,Setor 2
87,MG,3108404,Setor 2
88,MG,3108503,Setor 2
89,MG,3108552,Setor 2
90,MG,3108602,Setor 2
